prof_id,course_id_1
19,2
73,5
7,8
7,7
7,6
98,9
7,9
93,9
91,9
100,9
84,9
99,9
101,9
77,1
62,12
16,15
16,16
108,2
77,51
7,73
94,83
94,86
94,108
93,74
93,75
93,76
93,78
93,77
85,5
79,5
23,91
23,68
23,67
23,63
23,6
23,59
94,117
24,126
49,131
1415,136
94,143
45,144
49,145
23,157
23,155
23,158
23,168
23,164
23,162
23,163
23,171
23,45
23,55
23,57
23,44
23,48
23,169
23,46
23,54
24,205
24,206
24,207
24,208
24,209
45,211
45,212
45,213
1876,213
94,216
77,198
108,221
27,223
27,224
1876,227
15,228
2125,213
2125,212
45,23
2125,23
27,85
38,231
16,233
2255,15
2255,234
11,238
1552,226
1552,227
1570,239
1570,24
11,241
1570,241
65,247
103,248
80,249
90,251
90,252
90,253
1876,265
1876,267
1876,268
28,274
1876,275
1876,276
1876,277
1876,278
1876,279
1876,28
1876,281
1876,282
1876,284
1876,286
1876,287
58,289
58,288
58,29
1876,291
2749,269
2749,27
2749,271
2579,198
2579,197
2765,251
2765,252
2765,253
2564,26
2564,259
2564,261
2774,293
2810,264
50,295
1632,94
104,298
3003,199
89,311
88,312
88,313
31,314
25,311
17,311
29,311
1552,328
45,337
40,337
1415,339
1397,341
1397,342
3461,382
3461,384
3461,386
23,385
3495,243
3495,244
89,395
17,395
25,395
29,395
21,394
3461,397
1557,398
1557,4
67,41
86,41
3670,311
67,411
67,416
3706,398
1397,417
1397,418
100,42
93,42
3344,422
23,428
3298,255
3298,256
3298,258
34,437
3521,439
1557,441
72,445
100,447
98,447
31,45
1792,447
2341,447
2053,447
918,447
1886,447
93,447
93,388
7,452
3908,439
91,455
16,458
3582,458
16,459
21,459
1034,459
4024,459
2255,459
3582,459
4024,16
16,462
3582,462
103,464
16,465
16,466
4024,466
16,467
16,468
95,468
1557,468
1415,469
16,471
16,472
16,473
16,229
16,476
4024,476
16,479
80,483
100,484
91,484
49,486
49,505
23,593
55,94
1816,94
55,87
1723,87
1816,87
94,612
23,611
23,598
23,599
23,69
23,618
23,61
23,609
23,607
23,604
3006,624
109,628
985,628
16,632
109,635
109,636
33,636
985,636
34,637
16,639
4133,641
16,642
16,644
16,646
16,647
1557,656
4148,659
3003,664
3003,666
4145,668
3997,668
4132,559
4132,56
4132,561
4132,504
4132,551
68,517
68,523
68,55
68,554
2774,516
1433,544
1433,555
1433,487
1433,528
1433,579
2346,515
2346,521
2346,582
2346,577
2346,578
2278,511
2278,52
2278,538
70,557
70,552
70,501
70,507
4128,49
4128,502
4128,508
4128,531
4131,489
4131,529
4131,563
4131,488
63,535
63,54
63,572
63,589
63,583
1557,118
3003,679
93,688
93,703
93,705
93,706
93,707
4131,72
100,707
100,688
100,703
100,706
70,641
4128,641
4132,641
16,713
4145,673
4146,673
31,716
23,717
24,72
4145,728
34,48
34,683
34,69
65,734
65,735
65,736
77,737
15,738
3569,238
3569,74
3003,748
3003,75
3003,751
3003,752
3003,753
3003,754
3003,755
105,756
3997,673
3915,284
72,284
3915,287
72,287
3915,282
72,282
3915,285
72,285
3915,286
72,286
31,768
108,769
1557,772
4146,668
105,773
1557,777
105,78
38,783
38,784
38,785
38,786
38,787
38,788
1397,792
4145,793
3997,793
4146,793
2125,211
1834,216
1552,144
4146,728
77,796
27,141
27,801
105,803
1397,807
3006,817
3006,818
4229,819
4229,821
4229,822
1876,823
4229,823
100,705
95,16
95,15
95,462
108,826
25,829
45,267
45,265
4794,499
24,835
1834,219
1834,218
40,218
58,218
3580,218
1835,218
104,847
41,851
3461,852
3006,853
33,672
4145,672
34,684
16,854
34,695
34,692
34,685
34,693
2255,854
1557,854
87,857
78,81
78,815
78,791
3148,849
41,858
100,859
87,861
74,864
41,866
100,867
3461,868
57,866
3997,672
25,876
103,228
89,879
1557,88
5240,882
5240,883
5413,886
